"id","piece_number","composer","title","question","modality","submodality","horizon","answer_object_type","answer_format","answer_quantity","answer_example","answers","abc","midi","abc_midi","audio","pdf","image"
"musp_1","1","Bach","Fugue BWV 875","The performer plays bars 1-2 with different articulation: sometimes legato, sometimes staccato. Which eighth notes are played staccato?","SP","","Short","Pitch","Pitch with octave number","List ordered by appearance","[""A2, C#3, Eb4""]","[""A4, E4, A4""]","inputs/abc/piece-01.abc","inputs/midi_performance_event_text/piece-01.txt","inputs/abc_plus_midi/piece-01.abc","inputs/audio/piece-01.wav","inputs/pdf/without_context/piece-01.pdf","[""inputs/images/piece-01/page-1.png"", ""inputs/images/piece-01/page-2.png""]"
"musp_2","1","Bach","Fugue BWV 875","From bar 23 onwards, on which beat of which bar does the performance launch into its final élan that goes on until the end?","SP","","Mid","Bar / beat","Bar and beat","Single","[""bar 18 beat 3""]","[""bar 25 beat 1""]","inputs/abc/piece-01.abc","inputs/midi_performance_event_text/piece-01.txt","inputs/abc_plus_midi/piece-01.abc","inputs/audio/piece-01.wav","inputs/pdf/without_context/piece-01.pdf","[""inputs/images/piece-01/page-1.png"", ""inputs/images/piece-01/page-2.png""]"
"musp_3","2","Bach","Prelude BWV 848","In measures 77-78, the performer audibly elongates a note in the right hand beyond the written duration. Which note is elongated in which bar?","SP","","Short","Composite answer","Pitch, ""in bar"", bar number","Single","[""A#3 in bar 77""]","[""B5 in bar 77""]","inputs/abc/piece-02.abc","inputs/midi_performance_event_text/piece-02.txt","inputs/abc_plus_midi/piece-02.abc","inputs/audio/piece-02.wav","inputs/pdf/without_context/piece-02.pdf","[""inputs/images/piece-02/page-1.png"", ""inputs/images/piece-02/page-2.png"", ""inputs/images/piece-02/page-3.png"", ""inputs/images/piece-02/page-4.png""]"
"musp_4","2","Bach","Prelude BWV 848","Which right-hand note in the first bar is played the softest, and what is its position in the sequence of right-hand notes?","SP","","Short","Composite answer","Pitch with octave number, position in bar","Single","[""A3, 2""]","[""C#5, 4""]","inputs/abc/piece-02.abc","inputs/midi_performance_event_text/piece-02.txt","inputs/abc_plus_midi/piece-02.abc","inputs/audio/piece-02.wav","inputs/pdf/without_context/piece-02.pdf","[""inputs/images/piece-02/page-1.png"", ""inputs/images/piece-02/page-2.png"", ""inputs/images/piece-02/page-3.png"", ""inputs/images/piece-02/page-4.png""]"
"musp_5","2","Bach","Prelude BWV 848","Which note is accentuated the most in bars 97-98?","SP","","Short","Pitch","Pitch with octave number","Single","[""A#2"", ""Bb3""]","[""D#3""]","inputs/abc/piece-02.abc","inputs/midi_performance_event_text/piece-02.txt","inputs/abc_plus_midi/piece-02.abc","inputs/audio/piece-02.wav","inputs/pdf/without_context/piece-02.pdf","[""inputs/images/piece-02/page-1.png"", ""inputs/images/piece-02/page-2.png"", ""inputs/images/piece-02/page-3.png"", ""inputs/images/piece-02/page-4.png""]"
"musp_6","2","Bach","Prelude BWV 848","In bars 35-36, and again in bars 37-38, the performer consistently emphasizes a note in the left hand. If the beat is given by the eighth notes, in which bars and on which beat are these accentuated notes played within those bars?","SP","","Mid","Bar / beat","Bar and beat","List ordered by appearance","[""bar 35 beat 1, bar 35 beat 2""]","[""bar 35 beat 3, bar 37 beat 3"", ""bar 35 beat 3, bar 36 beat 1, bar 37 beat 3, bar 38 beat 1""]","inputs/abc/piece-02.abc","inputs/midi_performance_event_text/piece-02.txt","inputs/abc_plus_midi/piece-02.abc","inputs/audio/piece-02.wav","inputs/pdf/without_context/piece-02.pdf","[""inputs/images/piece-02/page-1.png"", ""inputs/images/piece-02/page-2.png"", ""inputs/images/piece-02/page-3.png"", ""inputs/images/piece-02/page-4.png""]"
"musp_7","2","Bach","Prelude BWV 848","Starting in bar 87, the music builds tension in anticipation of the cadence. At what time would a G#4 be expected as the logical completion of the melodic line, continuing the same melodic flow and pulse established and emphasized by the performer from bar 87 onward? ","SP","","Long","Timestamp","Timestamp in M:SS or MM:SS (rounded down)","Single","[""00:37""]","[""1:01""]","inputs/abc/piece-02.abc","inputs/midi_performance_event_text/piece-02.txt","inputs/abc_plus_midi/piece-02.abc","inputs/audio/piece-02.wav","inputs/pdf/without_context/piece-02.pdf","[""inputs/images/piece-02/page-1.png"", ""inputs/images/piece-02/page-2.png"", ""inputs/images/piece-02/page-3.png"", ""inputs/images/piece-02/page-4.png""]"
"musp_8","2","Bach","Prelude BWV 848","From which measure onwards does the performer most suddenly significantly slow down the tempo compared to the beginning?","SP","","Long","Bar / beat","Bar number (digits)","Single","[""50""]","[""103""]","inputs/abc/piece-02.abc","inputs/midi_performance_event_text/piece-02.txt","inputs/abc_plus_midi/piece-02.abc","inputs/audio/piece-02.wav","inputs/pdf/without_context/piece-02.pdf","[""inputs/images/piece-02/page-1.png"", ""inputs/images/piece-02/page-2.png"", ""inputs/images/piece-02/page-3.png"", ""inputs/images/piece-02/page-4.png""]"
"musp_9","3","Balakirev","Islamey","The phrasing in bars 143-144 is built up toward which note? In other words, where is the loudest point within that phrase?","SP","","Short","Pitch","Pitch class without octave number","Single","[""A"", ""G#"", ""Bb""]","[""D""]","inputs/abc/piece-03.abc","inputs/midi_performance_event_text/piece-03.txt","inputs/abc_plus_midi/piece-03.abc","inputs/audio/piece-03.wav","inputs/pdf/without_context/piece-03.pdf","[""inputs/images/piece-03/page-01.png"", ""inputs/images/piece-03/page-02.png"", ""inputs/images/piece-03/page-03.png"", ""inputs/images/piece-03/page-04.png"", ""inputs/images/piece-03/page-05.png"", ""inputs/images/piece-03/page-06.png"", ""inputs/images/piece-03/page-07.png"", ""inputs/images/piece-03/page-08.png"", ""inputs/images/piece-03/page-09.png"", ""inputs/images/piece-03/page-10.png"", ""inputs/images/piece-03/page-11.png"", ""inputs/images/piece-03/page-12.png"", ""inputs/images/piece-03/page-13.png"", ""inputs/images/piece-03/page-14.png"", ""inputs/images/piece-03/page-15.png"", ""inputs/images/piece-03/page-16.png"", ""inputs/images/piece-03/page-17.png"", ""inputs/images/piece-03/page-18.png"", ""inputs/images/piece-03/page-19.png"", ""inputs/images/piece-03/page-20.png""]"
"musp_10","3","Balakirev","Islamey","The lowest D in measure 92 is sustained. Which melodic note is played when this bass note is lifted?","SP","","Mid","Pitch","Pitch with octave number","Single","[""A4"", ""G#3"", ""Bb2""]","[""D4""]","inputs/abc/piece-03.abc","inputs/midi_performance_event_text/piece-03.txt","inputs/abc_plus_midi/piece-03.abc","inputs/audio/piece-03.wav","inputs/pdf/without_context/piece-03.pdf","[""inputs/images/piece-03/page-01.png"", ""inputs/images/piece-03/page-02.png"", ""inputs/images/piece-03/page-03.png"", ""inputs/images/piece-03/page-04.png"", ""inputs/images/piece-03/page-05.png"", ""inputs/images/piece-03/page-06.png"", ""inputs/images/piece-03/page-07.png"", ""inputs/images/piece-03/page-08.png"", ""inputs/images/piece-03/page-09.png"", ""inputs/images/piece-03/page-10.png"", ""inputs/images/piece-03/page-11.png"", ""inputs/images/piece-03/page-12.png"", ""inputs/images/piece-03/page-13.png"", ""inputs/images/piece-03/page-14.png"", ""inputs/images/piece-03/page-15.png"", ""inputs/images/piece-03/page-16.png"", ""inputs/images/piece-03/page-17.png"", ""inputs/images/piece-03/page-18.png"", ""inputs/images/piece-03/page-19.png"", ""inputs/images/piece-03/page-20.png""]"
